time,open,high,low,close,volume
2023-10-10 20:00:00-04:00,27392.076171875,27474.115234375,26561.099609375,26873.3203125,13648094333
2023-10-11 20:00:00-04:00,26873.29296875,26921.439453125,26558.3203125,26756.798828125,9392909295
2023-10-12 20:00:00-04:00,26752.87890625,27092.697265625,26686.322265625,26862.375,15165312851
2023-10-13 20:00:00-04:00,26866.203125,26969.0,26814.5859375,26861.70703125,5388116782
2023-10-14 20:00:00-04:00,26858.01171875,27289.169921875,26817.89453125,27159.65234375,7098201980
2023-10-15 20:00:00-04:00,27162.62890625,29448.138671875,27130.47265625,28519.466796875,27833876539
2023-10-16 20:00:00-04:00,28522.09765625,28618.751953125,28110.185546875,28415.748046875,14872527508
2023-10-17 20:00:00-04:00,28413.53125,28889.009765625,28174.251953125,28328.341796875,12724128586
2023-10-18 20:00:00-04:00,28332.416015625,28892.474609375,28177.98828125,28719.806640625,14448058195
2023-10-19 20:00:00-04:00,28732.8125,30104.0859375,28601.669921875,29682.94921875,21536125230
2023-10-20 20:00:00-04:00,29683.380859375,30287.482421875,29481.751953125,29918.412109375,11541146996
2023-10-21 20:00:00-04:00,29918.654296875,30199.43359375,29720.3125,29993.896484375,10446520040
2023-10-22 20:00:00-04:00,30140.685546875,34370.4375,30097.828125,33086.234375,38363572311
2023-10-23 20:00:00-04:00,33077.3046875,35150.43359375,32880.76171875,33901.52734375,44934999645
2023-10-24 20:00:00-04:00,33916.04296875,35133.7578125,33709.109375,34502.8203125,25254318008
2023-10-25 20:00:00-04:00,34504.2890625,34832.91015625,33762.32421875,34156.6484375,19427195376
2023-10-26 20:00:00-04:00,34156.5,34238.2109375,33416.88671875,33909.80078125,16418032871
2023-10-27 20:00:00-04:00,33907.72265625,34399.390625,33874.8046875,34089.57421875,10160330825
2023-10-28 20:00:00-04:00,34089.37109375,34743.26171875,33947.56640625,34538.48046875,11160323986
2023-10-29 20:00:00-04:00,34531.7421875,34843.93359375,34110.97265625,34502.36328125,17184860315
2023-10-30 20:00:00-04:00,34500.078125,34719.25390625,34083.30859375,34667.78125,15758270810
2023-10-31 20:00:00-04:00,34657.2734375,35527.9296875,34170.69140625,35437.25390625,22446272005
2023-11-01 20:00:00-04:00,35441.578125,35919.84375,34401.57421875,34938.2421875,20998158544
2023-11-02 20:00:00-04:00,34942.47265625,34942.47265625,34133.44140625,34732.32421875,17158456701
2023-11-03 20:00:00-04:00,34736.32421875,35256.03125,34616.69140625,35082.1953125,9561294264
2023-11-04 20:00:00-04:00,35090.01171875,35340.33984375,34594.2421875,35049.35546875,12412743996
2023-11-05 19:00:00-05:00,35044.7890625,35286.02734375,34765.36328125,35037.37109375,12693436420
2023-11-06 19:00:00-05:00,35047.79296875,35892.41796875,34545.81640625,35443.5625,18834737789
2023-11-07 19:00:00-05:00,35419.4765625,35994.41796875,35147.80078125,35655.27734375,17295394918
2023-11-08 19:00:00-05:00,35633.6328125,37926.2578125,35592.1015625,36693.125,37762672382
2023-11-09 19:00:00-05:00,36702.25,37493.80078125,36362.75390625,37313.96875,22711265155
2023-11-10 19:00:00-05:00,37310.0703125,37407.09375,36773.66796875,37138.05078125,13924272142
2023-11-11 19:00:00-05:00,37133.9921875,37227.69140625,36779.1171875,37054.51953125,11545715999
2023-11-12 19:00:00-05:00,37070.3046875,37405.1171875,36399.60546875,36502.35546875,19057712790
2023-11-13 19:00:00-05:00,36491.7890625,36753.3515625,34948.5,35537.640625,23857403554
2023-11-14 19:00:00-05:00,35548.11328125,37964.89453125,35383.78125,37880.58203125,27365821679
2023-11-15 19:00:00-05:00,37879.98046875,37934.625,35545.47265625,36154.76953125,26007385366
2023-11-16 19:00:00-05:00,36164.82421875,36704.484375,35901.234375,36596.68359375,22445028430
2023-11-17 19:00:00-05:00,36625.37109375,36839.28125,36233.3125,36585.703125,11886022717
2023-11-18 19:00:00-05:00,36585.765625,37509.35546875,36414.59765625,37386.546875,12915986553
2023-11-19 19:00:00-05:00,37374.07421875,37756.8203125,36882.53125,37476.95703125,20888209068
2023-11-20 19:00:00-05:00,37469.16015625,37631.140625,35813.8125,35813.8125,25172163756
2023-11-21 19:00:00-05:00,35756.5546875,37856.98046875,35670.97265625,37432.33984375,24397247860
2023-11-22 19:00:00-05:00,37420.43359375,37643.91796875,36923.86328125,37289.62109375,14214948217
2023-11-23 19:00:00-05:00,37296.31640625,38415.33984375,37261.60546875,37720.28125,22922957823
2023-11-24 19:00:00-05:00,37721.4140625,37892.4296875,37617.41796875,37796.79296875,9099571165
2023-11-25 19:00:00-05:00,37796.828125,37820.30078125,37162.75,37479.12109375,13744796068
2023-11-26 19:00:00-05:00,37454.19140625,37559.35546875,36750.12890625,37254.16796875,19002925720
2023-11-27 19:00:00-05:00,37247.9921875,38368.48046875,36891.08984375,37831.0859375,21696137014
2023-11-28 19:00:00-05:00,37826.10546875,38366.11328125,37612.6328125,37858.4921875,20728546658
2023-11-29 19:00:00-05:00,37861.1171875,38141.75390625,37531.140625,37712.74609375,18115982627
2023-11-30 19:00:00-05:00,37718.0078125,38954.109375,37629.359375,38688.75,23512784002
2023-12-01 19:00:00-05:00,38689.27734375,39678.9375,38652.59375,39476.33203125,15534035612
2023-12-02 19:00:00-05:00,39472.20703125,40135.60546875,39298.1640625,39978.390625,15769696322
2023-12-03 19:00:00-05:00,39978.62890625,42371.75,39978.62890625,41980.09765625,39856129827
2023-12-04 19:00:00-05:00,41986.265625,44408.6640625,41421.1484375,44080.6484375,36312154535
2023-12-05 19:00:00-05:00,44080.0234375,44265.76953125,43478.08203125,43746.4453125,29909761586
2023-12-06 19:00:00-05:00,43769.1328125,44042.58984375,42880.6484375,43292.6640625,27635760671
2023-12-07 19:00:00-05:00,43293.13671875,44705.515625,43125.296875,44166.6015625,24421116687
2023-12-08 19:00:00-05:00,44180.01953125,44361.2578125,43627.59765625,43725.984375,17368210171
2023-12-09 19:00:00-05:00,43728.3828125,44034.625,43593.28515625,43779.69921875,13000481418
2023-12-10 19:00:00-05:00,43792.01953125,43808.375,40234.578125,41243.83203125,40632672038
2023-12-11 19:00:00-05:00,41238.734375,42048.3046875,40667.5625,41450.22265625,24779520132
2023-12-12 19:00:00-05:00,41468.46484375,43429.78125,40676.8671875,42890.7421875,26797884674
2023-12-13 19:00:00-05:00,42884.26171875,43390.859375,41767.08984375,43023.97265625,25578530178
2023-12-14 19:00:00-05:00,43028.25,43087.82421875,41692.96875,41929.7578125,19639442462
2023-12-15 19:00:00-05:00,41937.7421875,42664.9453125,41723.11328125,42240.1171875,14386729590
2023-12-16 19:00:00-05:00,42236.109375,42359.49609375,41274.54296875,41364.6640625,16678702876
2023-12-17 19:00:00-05:00,41348.203125,42720.296875,40530.2578125,42623.5390625,25224642008
2023-12-18 19:00:00-05:00,42641.51171875,43354.296875,41826.3359375,42270.52734375,23171001281
2023-12-19 19:00:00-05:00,42261.30078125,44275.5859375,42223.81640625,43652.25,27868908174
2023-12-20 19:00:00-05:00,43648.125,44240.66796875,43330.05078125,43869.15234375,22452766169
2023-12-21 19:00:00-05:00,43868.98828125,44367.95703125,43441.96875,43997.90234375,21028503216
2023-12-22 19:00:00-05:00,44012.19921875,44015.69921875,43351.35546875,43739.54296875,13507796558
2023-12-23 19:00:00-05:00,43728.3671875,43945.5234375,42786.91796875,43016.1171875,18830554085
2023-12-24 19:00:00-05:00,43010.57421875,43765.09375,42765.76953125,43613.140625,21115795370
2023-12-25 19:00:00-05:00,43599.84765625,43603.17578125,41676.48828125,42520.40234375,30026850982
2023-12-26 19:00:00-05:00,42518.46875,43683.16015625,42167.58203125,43442.85546875,25260941032
2023-12-27 19:00:00-05:00,43468.19921875,43804.78125,42318.55078125,42627.85546875,22992093014
2023-12-28 19:00:00-05:00,42614.64453125,43124.32421875,41424.0625,42099.40234375,26000021055
2023-12-29 19:00:00-05:00,42091.75390625,42584.125,41556.2265625,42156.90234375,16013925945
2023-12-30 19:00:00-05:00,42152.09765625,42860.9375,41998.25390625,42265.1875,16397498810
2023-12-31 19:00:00-05:00,42280.234375,44175.4375,42214.9765625,44167.33203125,18426978443
